Y/N,E/D,SOM and GHG,Preferred Units,Secondary Units,Notes
,E,Microbial biomass carbon,(mg biomass C) (kg oven-dry soil)-1,,
,E,Water-filled pore space,%,Volumetric moisture content (%),Requires soil porosity and SMC
,E,Fertilizer (if used; quantity),kg ha-1,,
,E,Fertilizer (if used; type),,,
,E,Land Use History,"Pasture, crop, fallow",Specific crop,
,E,Soil porosity,%,,
,E,SMC,% (v v-1),,volumetric
,D,Belowground plant biomass,(g dry weight biomass) cm-2,(Mg dry weight biomass) ha-1,
,D,Soil erosion rate,kg m-2 y-1,t ha-1 y-1,
,E,Biochar volatile content,%,g g-1,
,E,Biochar porosity,%,,
,D,Biochar surface area,m2 g-1,,
